step,loss,lr,val_cer,val_loss,sec
50,1.0827542012929916,1.02e-05,,,26.702597856521606
100,1.4795257902145387,2.0200000000000003e-05,,,23.873589515686035
150,1.0803829145431518,3.02e-05,,,16.351850509643555
200,1.1188996773958206,4.02e-05,,,14.65542221069336
250,1.2472763150930404,5.02e-05,,,22.381629705429077
300,0.9580771926045418,6.02e-05,,,22.751367807388306
350,1.0808032807707786,7.02e-05,,,15.837623834609985
400,1.125604156255722,8.020000000000001e-05,,,26.53974151611328
450,1.0754443222284318,9.020000000000001e-05,,,24.328834295272827
500,1.0148586589097977,0.00010020000000000001,,,14.345232486724854
550,0.8584594970941544,0.00011020000000000001,,,19.54523468017578
600,0.8739502793550491,0.00012020000000000001,,,15.748840808868408
650,1.028139214515686,0.00013020000000000002,,,20.20110321044922
700,0.9043714302778244,0.0001402,,,15.890846729278564
750,0.9873925960063934,0.00015020000000000002,,,18.17751455307007
800,0.8673381525278091,0.00016020000000000002,,,12.556379318237305
850,0.9725219702720642,0.00017020000000000002,,,14.405909538269043
900,0.8951380425691604,0.00018020000000000002,,,18.50186586380005
950,0.8897574245929718,0.0001902,,,24.27907133102417
1000,0.7683364933729172,0.0002,,,16.700621843338013
1050,0.8820853447914123,0.00019999675343809658,,,18.421831369400024
1100,0.8264563119411469,0.00019998701397428456,,,24.06433653831482
1150,0.9246783691644669,0.00019997078227424332,,,18.665236234664917
1200,0.84283431828022,0.000199948059447388,,,17.717976570129395
1250,0.7272777736186982,0.0001999188470467936,,,17.63053822517395
1300,0.866165523827076,0.00019988314706908896,,,20.96301031112671
1350,0.8137302860617638,0.00019984096195432008,,,14.479103803634644
1400,0.7833760792016983,0.0001997922945857836,,,18.51364493370056
1450,0.6976873576641083,0.0001997371482898294,,,16.522239446640015
1500,0.9534145873785019,0.00019967552683563365,,,25.049179553985596
1550,0.8138124191761017,0.00019960743443494082,,,12.969412088394165
1600,0.8275903457403183,0.0001995328757417761,,,17.82221555709839
1650,0.8512016618251801,0.00019945185585212708,,,17.9873788356781
1700,0.8192992055416107,0.00019936438030359566,,,18.250208616256714
1750,0.7453805392980576,0.00019927045507501926,,,17.946387767791748
1800,0.8925327497720719,0.00019917008658606265,,,21.049273014068604
