[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 3950/20000 | loss 0.7209 | lr 1.89e-04 | 2.91 it/s
step 4000/20000 | loss 0.7155 | lr 1.89e-04 | 1.80 it/s
[val] step 4000: mode-B CER 23.50 | mode-A CER 23.43 | conditioning gain -0.07 | loss 0.6882
step 4050/20000 | loss 0.8798 | lr 1.88e-04 | 2.44 it/s
step 4100/20000 | loss 0.7231 | lr 1.88e-04 | 2.13 it/s
step 4150/20000 | loss 0.6924 | lr 1.87e-04 | 2.59 it/s
step 4200/20000 | loss 0.6325 | lr 1.87e-04 | 2.39 it/s
step 4250/20000 | loss 0.7145 | lr 1.87e-04 | 2.27 it/s
step 4300/20000 | loss 0.7452 | lr 1.86e-04 | 3.21 it/s
step 4350/20000 | loss 0.8451 | lr 1.86e-04 | 2.12 it/s
step 4400/20000 | loss 0.7163 | lr 1.85e-04 | 2.37 it/s
step 4450/20000 | loss 0.7702 | lr 1.85e-04 | 3.15 it/s
step 4500/20000 | loss 0.7134 | lr 1.85e-04 | 2.09 it/s
step 4550/20000 | loss 0.7508 | lr 1.84e-04 | 2.12 it/s
step 4600/20000 | loss 0.8035 | lr 1.84e-04 | 2.14 it/s
step 4650/20000 | loss 0.6441 | lr 1.83e-04 | 2.42 it/s
step 4700/20000 | loss 0.8407 | lr 1.83e-04 | 2.10 it/s
step 4750/20000 | loss 0.7352 | lr 1.82e-04 | 2.43 it/s
step 4800/20000 | loss 0.8058 | lr 1.82e-04 | 2.45 it/s
step 4850/20000 | loss 0.6502 | lr 1.81e-04 | 2.55 it/s
step 4900/20000 | loss 0.7242 | lr 1.81e-04 | 1.76 it/s
step 4950/20000 | loss 0.7113 | lr 1.80e-04 | 2.91 it/s
step 5000/20000 | loss 0.7616 | lr 1.80e-04 | 3.59 it/s
step 5050/20000 | loss 0.7130 | lr 1.79e-04 | 2.68 it/s
step 5100/20000 | loss 0.7691 | lr 1.79e-04 | 1.87 it/s
step 5150/20000 | loss 0.7520 | lr 1.78e-04 | 2.25 it/s
step 5200/20000 | loss 0.7979 | lr 1.78e-04 | 1.93 it/s
step 5250/20000 | loss 0.6447 | lr 1.77e-04 | 2.88 it/s
step 5300/20000 | loss 0.7122 | lr 1.77e-04 | 2.60 it/s
step 5350/20000 | loss 0.7196 | lr 1.76e-04 | 2.92 it/s
step 5400/20000 | loss 0.7198 | lr 1.76e-04 | 2.68 it/s
step 5450/20000 | loss 0.7077 | lr 1.75e-04 | 2.71 it/s
step 5500/20000 | loss 0.7921 | lr 1.75e-04 | 2.88 it/s
step 5550/20000 | loss 0.6535 | lr 1.74e-04 | 2.77 it/s
step 5600/20000 | loss 0.7417 | lr 1.74e-04 | 1.65 it/s
step 5650/20000 | loss 0.7441 | lr 1.73e-04 | 3.08 it/s
step 5700/20000 | loss 0.6583 | lr 1.73e-04 | 2.67 it/s
step 5750/20000 | loss 0.6924 | lr 1.72e-04 | 2.75 it/s
step 5800/20000 | loss 0.6435 | lr 1.72e-04 | 2.29 it/s
step 5850/20000 | loss 0.6924 | lr 1.71e-04 | 2.22 it/s
