step,loss,lr,val_cer,val_loss,sec
100,41.7296973156929,5.05e-05,,,44.6556715965271
200,3.480023989677429,0.0001005,,,32.231953382492065
300,3.374881777763367,0.0001505,,,33.168275117874146
400,3.4089058899879454,0.00020050000000000002,,,29.619747638702393
500,3.2675702738761903,0.0002505,,,41.81088423728943
600,3.3222632813453674,0.0003005,,,33.97490882873535
700,3.210220036506653,0.0003505,,,33.95975708961487
800,3.2192341041564942,0.00040050000000000003,,,36.76007676124573
900,3.1575466346740724,0.0004505,,,38.09812879562378
1000,3.162206928730011,0.0005005,,,32.68751907348633
1100,3.101106984615326,0.0005505,,,39.27352833747864
1200,3.0517919993400575,0.0006005,,,33.999977350234985
1300,2.956275999546051,0.0006504999999999999,,,33.9553644657135
1400,3.025511839389801,0.0007005000000000001,,,29.503302097320557
1500,2.9625801634788513,0.0007505,,,35.33493256568909
1600,2.9135994958877562,0.0008005,,,41.40717387199402
1700,2.8880670404434206,0.0008505,,,33.85760140419006
1800,2.7846966361999512,0.0009004999999999999,,,38.277278661727905
1900,2.8022979354858397,0.0009505000000000001,,,35.25640368461609
2000,2.8113164067268372,0.001,,,45.62013244628906
2100,2.8324758911132815,0.0009999949307377249,,,30.527517080307007
2200,2.7675399231910705,0.0009999797230590996,,,35.64904189109802
2300,2.608118715286255,0.0009999543772887208,,,32.06047797203064
2400,2.7274822854995726,0.000999918893967575,,,36.181201457977295
2500,2.686233057975769,0.0009998732738530278,,,46.18991041183472
2500,,,83.83080021973997,3.150979499022166,A=83.76
2600,2.5873605930805206,0.0009998175179188064,,,49.17199659347534
2700,2.526809775829315,0.0009997516273549808,,,35.24306321144104
2800,2.58657462477684,0.0009996756035679359,,,34.3428635597229
2900,2.539232618808746,0.0009995894481803435,,,33.73705554008484
3000,2.512803511619568,0.000999493163031127,,,33.16660666465759
3100,2.573431273698807,0.0009993867501754215,,,34.010817766189575
3200,2.521146491765976,0.0009992702118845312,,,40.74204421043396
3300,2.4802276170253754,0.0009991435506458797,,,33.46821141242981
3400,2.4863001894950867,0.000999006769162958,,,43.15476846694946
3500,2.4947169113159178,0.0009988598703552657,,,31.994649410247803
3600,2.4648650348186494,0.0009987028573582495,,,35.88788080215454
3700,2.342395850419998,0.000998535733523236,,,40.86779570579529
3800,2.4387535405158998,0.0009983585024173599,,,37.08381271362305
3900,2.47104789018631,0.0009981711678234888,,,43.185505867004395
4000,2.367330276966095,0.0009979737337401414,,,34.849637031555176
4100,2.4496685433387757,0.0009977662043814024,,,38.1449077129364
4200,2.3411332499980926,0.0009975485841768328,,,37.23068165779114
4300,2.5205051386356354,0.0009973208777713752,,,35.50862979888916
