[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 7700/70000 | loss 2.3168 | lr 9.84e-04 | 2.58 it/s
step 7800/70000 | loss 2.2512 | lr 9.83e-04 | 2.67 it/s
step 7900/70000 | loss 2.3709 | lr 9.82e-04 | 2.68 it/s
step 8000/70000 | loss 2.2300 | lr 9.82e-04 | 2.56 it/s
step 8100/70000 | loss 2.1768 | lr 9.81e-04 | 2.18 it/s
step 8200/70000 | loss 2.1892 | lr 9.81e-04 | 2.84 it/s
step 8300/70000 | loss 2.2201 | lr 9.80e-04 | 2.67 it/s
step 8400/70000 | loss 2.2470 | lr 9.79e-04 | 2.39 it/s
step 8500/70000 | loss 2.2445 | lr 9.79e-04 | 2.74 it/s
step 8600/70000 | loss 2.2819 | lr 9.78e-04 | 2.53 it/s
step 8700/70000 | loss 2.2393 | lr 9.77e-04 | 2.56 it/s
step 8800/70000 | loss 2.2096 | lr 9.77e-04 | 2.77 it/s
step 8900/70000 | loss 2.1391 | lr 9.76e-04 | 2.53 it/s
step 9000/70000 | loss 2.1909 | lr 9.75e-04 | 2.67 it/s
step 9100/70000 | loss 2.1750 | lr 9.75e-04 | 2.85 it/s
step 9200/70000 | loss 2.1967 | lr 9.74e-04 | 2.50 it/s
step 9300/70000 | loss 2.2121 | lr 9.73e-04 | 2.79 it/s
step 9400/70000 | loss 2.1908 | lr 9.73e-04 | 2.19 it/s
step 9500/70000 | loss 2.2002 | lr 9.72e-04 | 3.06 it/s
step 9600/70000 | loss 2.1655 | lr 9.71e-04 | 2.90 it/s
step 9700/70000 | loss 2.1888 | lr 9.70e-04 | 2.63 it/s
step 9800/70000 | loss 2.1104 | lr 9.69e-04 | 2.69 it/s
step 9900/70000 | loss 2.1701 | lr 9.69e-04 | 2.92 it/s
step 10000/70000 | loss 2.2148 | lr 9.68e-04 | 2.36 it/s
[val] step 10000: mode-B CER 63.96 | mode-A CER 63.28 | conditioning gain -0.68 | loss 2.3425
[val] new best CER 63.96 -> saved best.pt
step 10100/70000 | loss 2.1060 | lr 9.67e-04 | 2.15 it/s
step 10200/70000 | loss 2.1770 | lr 9.66e-04 | 2.74 it/s
step 10300/70000 | loss 2.1858 | lr 9.66e-04 | 2.42 it/s
step 10400/70000 | loss 2.1851 | lr 9.65e-04 | 2.65 it/s
step 10500/70000 | loss 2.1715 | lr 9.64e-04 | 3.05 it/s
step 10600/70000 | loss 2.2462 | lr 9.63e-04 | 2.14 it/s
step 10700/70000 | loss 2.1630 | lr 9.62e-04 | 3.83 it/s
step 10800/70000 | loss 2.0654 | lr 9.61e-04 | 2.69 it/s
step 10900/70000 | loss 2.1043 | lr 9.60e-04 | 2.45 it/s
step 11000/70000 | loss 2.2112 | lr 9.60e-04 | 2.50 it/s
step 11100/70000 | loss 2.1652 | lr 9.59e-04 | 2.46 it/s
step 11200/70000 | loss 2.2018 | lr 9.58e-04 | 3.05 it/s
step 11300/70000 | loss 2.2238 | lr 9.57e-04 | 2.39 it/s
step 11400/70000 | loss 2.1457 | lr 9.56e-04 | 2.86 it/s
step 11500/70000 | loss 2.1575 | lr 9.55e-04 | 2.68 it/s
step 11600/70000 | loss 2.1239 | lr 9.54e-04 | 2.29 it/s
step 11700/70000 | loss 2.1948 | lr 9.53e-04 | 3.18 it/s
step 11800/70000 | loss 2.2131 | lr 9.52e-04 | 2.47 it/s
step 11900/70000 | loss 2.1056 | lr 9.51e-04 | 3.11 it/s
step 12000/70000 | loss 2.0965 | lr 9.50e-04 | 2.68 it/s
step 12100/70000 | loss 2.1140 | lr 9.49e-04 | 3.00 it/s
step 12200/70000 | loss 2.1314 | lr 9.48e-04 | 2.39 it/s
step 12300/70000 | loss 2.1433 | lr 9.47e-04 | 3.25 it/s
step 12400/70000 | loss 2.1381 | lr 9.46e-04 | 2.89 it/s
step 12500/70000 | loss 2.0761 | lr 9.45e-04 | 2.84 it/s
[val] step 12500: mode-B CER 66.94 | mode-A CER 66.90 | conditioning gain -0.04 | loss 2.5924
step 12600/70000 | loss 2.1124 | lr 9.44e-04 | 2.53 it/s
step 12700/70000 | loss 2.1899 | lr 9.43e-04 | 2.54 it/s
step 12800/70000 | loss 2.1667 | lr 9.42e-04 | 2.42 it/s
step 12900/70000 | loss 2.1462 | lr 9.41e-04 | 2.30 it/s
step 13000/70000 | loss 2.1319 | lr 9.40e-04 | 3.48 it/s
step 13100/70000 | loss 2.1710 | lr 9.39e-04 | 2.52 it/s
step 13200/70000 | loss 2.1777 | lr 9.38e-04 | 2.59 it/s
step 13300/70000 | loss 2.0789 | lr 9.37e-04 | 2.76 it/s
step 13400/70000 | loss 2.1064 | lr 9.36e-04 | 2.77 it/s
step 13500/70000 | loss 2.1358 | lr 9.35e-04 | 2.37 it/s
